provincia;renta_bruta_media;renta_disponible_media
Almería;21.399;18.062
Cádiz;24.497;20.538
Córdoba;21.879;18.432
Granada;23.515;19.737
Huelva;20.972;17.717
Jaén;20.266;17.375
Málaga;24.712;20.602
Sevilla;25.321;20.932
Huesca;25.513;21.188
Teruel;23.356;19.551
Zaragoza;27.827;22.773
Asturias;27.448;22.674
Balears, Illes;29.736;24.182
Palmas, Las;25.636;21.344
Santa Cruz de Tenerife;24.474;20.484
Cantabria;27.010;22.361
Avila;21.986;18.759
Burgos;26.863;22.295
León;24.547;20.609
Palencia;24.470;20.592
Salamanca;24.569;20.612
Segovia;24.558;20.591
Soria;24.315;20.444
Valladolid;27.941;23.061
Zamora;21.386;18.295
Albacete;23.259;19.534
Ciudad Real;22.943;19.329
Cuenca;21.238;18.179
Guadalajara;26.814;22.211
Toledo;23.190;19.494
Barcelona;33.958;27.048
Girona;28.905;23.532
Lleida;26.684;21.920
Tarragona;27.500;22.546
Alicante/Alacant;23.348;19.470
Castellón/Castelló;25.164;20.761
Valencia/València;27.016;22.135
Badajoz;20.916;17.769
Cáceres;20.942;17.788
Coruña, A;27.160;22.292
Lugo;22.281;18.774
Ourense;22.496;19.028
Pontevedra;25.026;20.796
Madrid;37.768;29.882
Murcia;24.380;20.345
Rioja, La;26.735;22.113
Ceuta;31.504;28.362
Melilla;30.175;27.284
No residentes;29.865;25.914
Araba/Álava;21.516;17.969
Bizkaia;21.853;18.345
Gipuzkoa;23.512;19.606
Navarra;13.394;16.3
