ccaa;renta_bruta_media;renta_disponible_media
Andalucía;23.510;19.682
Aragón;27.014;22.200
Asturias, Principado de;27.448;22.674
Balears, Illes;29.736;24.182
Canarias;25.087;20.938
Cantabria;27.010;22.361
Castilla y León;25.317;21.165
Castilla-La Mancha;23.437;19.697
Cataluña;32.423;25.976
Comunitat Valenciana;25.543;21.061
Extremadura;20.926;17.777
Galicia;25.330;20.998
Madrid, Comunidad de;37.768;29.882
Murcia, Región de;24.380;20.345
Rioja, La;26.735;22.113
Ceuta;31.504;28.362
Melilla;30.175;27.284
No residentes;29.865;25.914
Pais Vasco;22.343;18.699
Navarra;16.3;13.394
